display_name,training_phrase
accountApplicationStatus,i just put my application in yesterday for an everyday checking acc..can you check the status of my application please
accountApplicationStatus,i just want to check my application status.
accountApplicationStatus,i just wanted to verify the status of my credit card application?
accountApplicationStatus,i need to check my credit card application status
accountApplicationStatus,i need to know the status of the credit card application.
accountApplicationStatus,i need to se set status of my credit card application
accountApplicationStatus,i recently applied for a credit card my name is john. i'm trying to check my status
accountApplicationStatus,i recently applied for a credit card. when do i find out if i was approved? it was a week ago.
accountApplicationStatus,i recently applied for a loan forbearance. i would like to know the status please
accountApplicationStatus,i recently put an application in for a credit card where can i check the status of my application?
accountApplicationStatus,i submitted a credit card application where can i check the status?
accountApplicationStatus,i wanna check status on my credit card application
accountApplicationStatus,i want to check my application status
accountApplicationStatus,i want to check on the status of my credit application
accountApplicationStatus,i want to check on the status of my credit card application
accountApplicationStatus,i want to know the status of an application
accountApplicationStatus,i want to see the status of my loan application
accountApplicationStatus,i wanted to check in the status of my mortgage application.
accountApplicationStatus,i wanted to check on my credit card application status
accountApplicationStatus,i wanted to check on the status of an application i applied for a credit card online
accountApplicationStatus,i wanted to check the application status on my credit card
accountApplicationStatus,i wanted to check the application status on the platinum visa credit card
accountApplicationStatus,i wanted to check the status of my credit card application.
accountApplicationStatus,i wanted to check the status on my application for credit card
accountApplicationStatus,i wanted to know how my loan application status is going
accountApplicationStatus,i wanted to know status of platinum credit card application
accountApplicationStatus,i was checking on the status of the credit card i applied for.
accountApplicationStatus,i was curious to find out my application status for a personal loan application i submitted tuesday morning.
accountApplicationStatus,i was just checking if there was a way to check on the status of my application
accountApplicationStatus,i was wanting to check the status on a credit application i submitted
accountApplicationStatus,i was wondering about the status about a credit card i had applied for..
accountApplicationStatus,i was wondering how i can check the status of my credit card application
accountApplicationStatus,i was wondering how i can check the status of my wells fargo credit card application
accountApplicationStatus,i was wondering if i can get an update on the status of a credit card i applied for haven't received anything in the mail
accountApplicationStatus,i was wondering on the status of the credit card i applied for. i just wanted to know if i was approved or not.
accountApplicationStatus,i would like to check on a credit card application status
accountApplicationStatus,i would like to check the status of loan application
accountApplicationStatus,i would like to check the status of the credit card application i submitted
accountApplicationStatus,i would like to know my credit card application status please
accountApplicationStatus,i would like to know the credit card status of an application
accountApplicationStatus,i would like to know the status of a wells fargo credit card application
accountApplicationStatus,i would like to know the status of my credit application
accountApplicationStatus,i would like to know the status of my credit application. the reference number is 9999
accountApplicationStatus,i would like to know the status on my application. i recently applied for a credit card
accountApplicationStatus,i would like to know the status on my application. i recently applied for a credit card cash wise card?
accountApplicationStatus,i'd like the status of a credit card application.
accountApplicationStatus,i'd like to check the status of a credit card application.
accountApplicationStatus,i'd like to check the status of my credit card application - reference 9999
accountApplicationStatus,i'd like to know the status on my credit card application
accountApplicationStatus,if i applied for a credit card online how do i check the status of the approval and wait time
accountApplicationStatus,just checking the status of my credit card application
accountApplicationStatus,looking to see status of my credit card application.
accountApplicationStatus,not able to check my application status
accountApplicationStatus,requesting a status of my credit card application?
accountApplicationStatus,status of a credit card application
accountApplicationStatus,status of application
accountApplicationStatus,status on loan application
accountApplicationStatus,status or my application for credit card
accountApplicationStatus,trying to figure out the status of credit card application
accountApplicationStatus,wanted to know status of my application for credit card
accountApplicationStatus,what is my status of my credit card application
accountApplicationStatus,what is the status of my loan application?
accountApplicationStatus,what is the status of my savings account application?
accountApplicationStatus,what is the status on my personal loan application
accountApplicationStatus,what my application status for a credit card
accountApplicationStatus,whats the status on my application for a credit card
accountApplicationStatus,when am i going to receive the call about my application to the loan?
accountApplicationStatus,when i opened this account i also applied for a credit card.. still havent recieved it or been notified otherwise
accountApplicationStatus,when will i know if my credit card application was accepted
accountApplicationStatus,where would i check the status of my credit card application?
accountApplicationStatus,yesterday i applied for credit card can i know status about my application
accountOpen,Am I able to open a savings account through the app
accountOpen,Can I create a savings account online
accountOpen,Can I make a savings account from my phone
accountOpen,Can I make a savings account online
accountOpen,Can I make savings account on the app
accountOpen,Can I open a joint account?
accountOpen,Can I open a new account
accountOpen,Can I open a new account in my name only
accountOpen,Can I open a new savings account on my app?
accountOpen,Can I open a new way2save account
accountOpen,Can I open a saving account on the app
accountOpen,Can I open a savings account
accountOpen,Can I open a savings account online
accountOpen,Can I open a savings account online is that possible?
accountOpen,Can I open a second account
accountOpen,Can I open account online
accountOpen,Can I open an account
accountOpen,Can I open an account through the mobile app?
accountOpen,Can I open an additional checking account from here?
accountOpen,Can I open an additional checking account.
accountOpen,Can I open another checking account?
accountOpen,Can I set up a new account online
accountOpen,Can I set up a savings account
accountOpen,Can i make a savings account
accountOpen,Can i open a checking account for my daughter
accountOpen,Can i open a saving account through the app
accountOpen,Can i open a savings account by phone?
accountOpen,Can i open a savings with this account
accountOpen,Can i open an account online
accountOpen,Can i open another checking account online?
accountOpen,Can i set up a savings account online
accountOpen,Can you open a savings account online
accountOpen,Can you open a savings account thru the app?
accountOpen,Can you set up a savings account for me
accountOpen,Create savings account
accountOpen,How can I make a savings account
accountOpen,How can I make a savings account through the app
accountOpen,How can I open a new account
accountOpen,How can I open a new saving account
accountOpen,How can I open a saving account on the app
accountOpen,How can I open a savings account online
accountOpen,How can I open a savings account thru my phone?
accountOpen,How can I open a shared bank account with my husband?
accountOpen,How can I open accounts for them
accountOpen,How can I open an account
accountOpen,How can I open an account for my 16 year old
accountOpen,How can I open an savings account
accountOpen,How can I open saving account too
accountOpen,How can I set up an account for my minor child
accountOpen,How can I set up business checking account
accountOpen,How can i open a regular checking account
accountOpen,How can i open a savings account thru the app
accountOpen,How can i open a savings and checking account together
accountOpen,How can i open a second checking account
accountOpen,How do I create a savings account
accountOpen,How do I go about to open saving account
accountOpen,How do I make a savings account
accountOpen,How do I make a savings account on the app
accountOpen,How do I open a savings account
accountOpen,How do I open a savings account for my teenager
accountOpen,How do I open a savings account from my app?
accountOpen,How do I open a savings account on my phone
accountOpen,How do I open a savings account online
accountOpen,How do I open an account for my minor son?
accountOpen,How do I open up a checking account
accountOpen,How do I open up a savings account?
accountOpen,How do i set up a checking account
accountOpen,How do u set up a teen banking account
accountOpen,How to open a savings account
accountOpen,How to open account for existing customers
accountOpen,How to set up a savings account
accountOpen,How will I be able to make a savings account
accountOpen,How would I go about opening an saving account?
accountOpen,I am interested in opening a business account
accountOpen,I am interested in opening a savings account
accountOpen,I am wanting to open a savings account
accountOpen,I need open business account
accountOpen,I need to add a new savings account
accountOpen,I need to create another savings account.
accountOpen,I need to open a new checking account
accountOpen,I need to open a savings account.
accountOpen,I need to open a savings account. Can I do that online ?
accountOpen,I need to open a second checking account please
accountOpen,I need to open a separate savings account
accountOpen,I need to open savings account
accountOpen,I need to set up a business account
accountOpen,I need to set up a savings account
accountOpen,I wanna create savings account
accountOpen,I wanna open a savings account
accountOpen,I want to how to open saving account
accountOpen,I want to know if its able to open a account online
accountOpen,I want to make a savings account
accountOpen,I want to open a business account
accountOpen,I want to open a new account
accountOpen,I want to open a new checking account
accountOpen,I want to open a new checking account connected to my current checking account
accountOpen,I want to open a new way to save savings account
accountOpen,I want to open a saving account
accountOpen,I want to open a savings account
accountOpen,I want to open a second checking account
accountOpen,I want to open a separate checking account
accountOpen,I want to open an account
accountOpen,I want to open an additional checking account.
accountOpen,I want to open another savings account
accountOpen,I want to open savings account
accountOpen,I want to open up a opportunity savings. I already have a opportunity checking account
accountOpen,I want to open up a saving account
accountOpen,I want to see can I open a account for my kids
accountOpen,I want too open up a business account
accountOpen,I wanted to know if I can make a savings account online
accountOpen,I wanted to open a savings account
accountOpen,I wanted to open an account for my sons
accountOpen,I was wonder how to open up a savings account
accountOpen,I was wondering about opening a savings account
accountOpen,I was wondering how can I open a savings account
accountOpen,I was wondering how to open a business account
accountOpen,I was wondering if I could make a savings account online
accountOpen,I will like to make a savings account
accountOpen,I will like yo create a savings account
accountOpen,I would like to make a savings account
accountOpen,I would like to open a business account
accountOpen,I would like to open a checking account
accountOpen,I would like to open a joint account with my spouse
accountOpen,I would like to open a new account
accountOpen,I would like to open a new account but I have questions
accountOpen,I would like to open a new checking account
accountOpen,I would like to open a new savings account
accountOpen,I would like to open a saving account
accountOpen,I would like to open a saving account with my checking account.
accountOpen,I would like to open a savings account
accountOpen,I would like to open an IRA account
accountOpen,I would like to open another account
accountOpen,I would like to open another savings account can I do that mobily?
accountOpen,I would like to open another savings account. Am I able to do this online or over the phone?
accountOpen,I would like to open savings accounts attached to my checking
accountOpen,I would like to open savings accounts only
accountOpen,I'd like to get a savings with Wells Fargo
accountOpen,I'd like to open a new savings account
accountOpen,I'd like to open a savings account online
accountOpen,I'd like to open up a checking account please
accountOpen,I'd like to set up a savings account
accountOpen,I'm looking to set up a new savings account for a minor.
accountOpen,I'm thinking of opening a savings account
accountOpen,I'm trying to open a savings account
accountOpen,Id like to open a savings account
accountOpen,Im wanting to open a savings account
accountOpen,Like to open a checking account.
accountOpen,Looking to open a business account.
accountOpen,Make a savings account
accountOpen,May I open a saving account online?
accountOpen,Need to open another account.
accountOpen,New account
accountOpen,New account needed
accountOpen,Open a checking account
accountOpen,Open a new account
accountOpen,Open a new checking account
accountOpen,Open a new savings account
accountOpen,Open a regular checking account
accountOpen,Open a saving account today
accountOpen,Open a savings account
accountOpen,Open a second checking account
accountOpen,Open account
accountOpen,Open an account for minor
accountOpen,Open another account
accountOpen,Open another checking account
accountOpen,Open new account
accountOpen,Open new checking account
accountOpen,Open new savings account
accountOpen,Open saving account
accountOpen,Open savings account
accountOpen,Open up a checking account
accountOpen,Open up a new savings account
accountOpen,Open up a savings account
accountOpen,Open up new checking account
accountOpen,Open up savings account
accountOpen,Opening a new account
accountOpen,Opening a savings account
accountOpen,Opening an account
accountOpen,Opening up a savings account
accountOpen,Set up another checking account
accountOpen,Set up teen account
accountOpen,Wanna open a new checking account
accountOpen,Want to make a savings account
accountOpen,Want to open a savings account
accountOpen,Want to open an additional savings account
accountOpen,Wants to open up a savings account online
accountOpen,What do I need to do to open a savings account?
accountOpen,account options
accountOpen,am I able to set up a savings account
accountOpen,apply for a account
accountOpen,apply for a bank loan
accountOpen,apply for a home loan
accountOpen,apply for a loan
accountOpen,apply for a loan online
accountOpen,apply for a personal loan
accountOpen,apply for a rent personal loan
accountOpen,apply for a savings account
accountOpen,apply for a small loan
accountOpen,apply for auto loan
accountOpen,apply for bank loan
accountOpen,apply for checking account
accountOpen,apply for home improvement loan
accountOpen,apply for home loan
accountOpen,apply for loan
accountOpen,apply for loan online
accountOpen,apply for loans
accountOpen,apply for mortgage loan
accountOpen,apply for new account
accountOpen,apply for personal loan
accountOpen,apply for personal loans
accountOpen,apply for ppp loan
accountOpen,apply for saving account
accountOpen,apply for savings account
accountOpen,apply loan
accountOpen,apply new account online
accountOpen,applying for a bank loan
accountOpen,applying for a loan
accountOpen,applying for a personal loan
accountOpen,applying for a ppp loan
accountOpen,applying for personal loan
accountOpen,are there any short term loan options available
accountOpen,borrow 100 dollars
accountOpen,borrow a 100 dollars
accountOpen,borrow cash
accountOpen,borrow funds
accountOpen,borrow money
accountOpen,borrow money from here?
accountOpen,borrowing cash
accountOpen,can I create a minor account from home.
accountOpen,can I open a new account online?
accountOpen,can I open a new account through the app?
accountOpen,can I open an saving account now
accountOpen,can I open saving account
accountOpen,can add another savings account
accountOpen,can apply for credit card?
accountOpen,can i add a savings account
accountOpen,can i add another checking account?
accountOpen,can i add mortgage account
accountOpen,can i apply credit card
accountOpen,can i apply for a loan
accountOpen,can i apply for credit card
accountOpen,can i apply for loan
accountOpen,can i apply for personal loan
accountOpen,can i borrow 100 dollars
accountOpen,can i borrow 9999
accountOpen,can i borrow money
accountOpen,can i create an account
accountOpen,can i do a heloc?
accountOpen,can i get a cash loan?
accountOpen,can i get a loan
accountOpen,can i get a personal loan
accountOpen,can i get a savings account
accountOpen,can i get credit card
accountOpen,can i get heloc
accountOpen,can i get personal loan?
accountOpen,can i have a loan
accountOpen,can i make a joint account
accountOpen,can i make another checking account
accountOpen,can i make savings account
accountOpen,can i obtain a heloc loan?
accountOpen,can i open IRA account
accountOpen,can i open a business account
accountOpen,can i open a credit card
accountOpen,can i open a new checking account?
accountOpen,can i open a saving account
accountOpen,can i open a savings account from the app
accountOpen,can i open a savings account?
accountOpen,can i open account
accountOpen,can i open another account online?
accountOpen,can i open another account?
accountOpen,can i open another savings account
accountOpen,can i open multiple accounts?
accountOpen,can i open new account
accountOpen,can i open savings account
accountOpen,can i open up another account
accountOpen,can i qualify for a loan?
accountOpen,can i request a loan?
accountOpen,can i saving account online
accountOpen,can i start a savings account?
accountOpen,can i start an account?
accountOpen,can i take out a loan
accountOpen,can open a new account
accountOpen,can open another savings account
accountOpen,can u get a loan?
accountOpen,can u have a loan?
accountOpen,can you create another savings account?
accountOpen,can you open accounts online
accountOpen,card options
accountOpen,checking account options
accountOpen,could I make a savings account
accountOpen,could you just brief me on better savings account options for my first savings account?
accountOpen,credit card options
accountOpen,discussing my savings account options
accountOpen,do you have saving account options
accountOpen,get a business account
accountOpen,get a checking account
accountOpen,get a home loan
accountOpen,get a loan
accountOpen,get a loan from here ?
accountOpen,get a personal loan
accountOpen,get a savings account
accountOpen,get a separate bank account
accountOpen,get loan
accountOpen,get saving account
accountOpen,get savings account
accountOpen,getting a loan
accountOpen,getting approved for a loan
accountOpen,getting personal loan
accountOpen,hello i am interested in my options getting an auto loan. can you help me get started?
accountOpen,hello. is it possible to open a saving account? do you have any options?
accountOpen,help with applying for a loan
accountOpen,home loan options
accountOpen,how can I create a savings account
accountOpen,how can I open a savings account
accountOpen,how can I open a small business account?
accountOpen,how can a savings account?
accountOpen,how can apply credit card
accountOpen,how can i add a account
accountOpen,how can i add another account
accountOpen,how can i add savings account
accountOpen,how can i borrow money
accountOpen,how can i create an account
accountOpen,how can i do a loan
accountOpen,how can i get a loan
accountOpen,how can i get credit card?
accountOpen,how can i get loans
accountOpen,how can i get money loans?
accountOpen,how can i open account
accountOpen,how can i open another account
accountOpen,how can i open business account
accountOpen,how can i open savings account
accountOpen,how can i request a loan
accountOpen,how can i start saving account
accountOpen,how can open a savings account ?
accountOpen,how can open saving account
accountOpen,how could I open a saving account
accountOpen,how do I open a saving account through the application
accountOpen,how do I set up a savings account on the app
accountOpen,how do i apply for loans
accountOpen,how do i get a loan
accountOpen,how do i get a whole new account
accountOpen,how do i make a child savings account
accountOpen,how do i open a checking account
accountOpen,how do i open a saving account
accountOpen,how do i set up a savings account
accountOpen,how i can open credit card
accountOpen,how to apply for a loan
accountOpen,how to apply for loan
accountOpen,how to apply for online loan
accountOpen,how to apply for personal loan
accountOpen,how to apply for ppp loan
accountOpen,how to apply ppp loan
accountOpen,how to get a loan
accountOpen,how to get a personal loan
accountOpen,how to get a savings account
accountOpen,how to get checking account
accountOpen,how to get loan
accountOpen,how to get ppp loan
accountOpen,how to get saving account
accountOpen,how to get savings account
accountOpen,how to open new account
accountOpen,how would i get a loan
accountOpen,i am looking to open a savings account.
accountOpen,i can apply for loan
accountOpen,i can get credit card?
accountOpen,i just graduated college but i do not have a credit card yet. what are my options?
accountOpen,i need to borrow 100 dollars
accountOpen,i need to borrow money
accountOpen,i need to borrow some money
accountOpen,i need to get a loan
accountOpen,i need to open a checking account
accountOpen,i want a checking account
accountOpen,i want a home loan
accountOpen,i want a loan
accountOpen,i want a personal loan
accountOpen,i want a regular checking account
accountOpen,i want a save account
accountOpen,i want a saving account
accountOpen,i want a savings account
accountOpen,i want another account
accountOpen,i want home loans
accountOpen,i want make saving account
accountOpen,i want open a saving account
accountOpen,i want open a savings account
accountOpen,i want open account
accountOpen,i want open savings account
accountOpen,i want to apply for a credit card through the bank to build my credit. whats my best options
accountOpen,i want to apply loan
accountOpen,i want to apply personal loan
accountOpen,i want to ask about loans
accountOpen,i want to choose an account
accountOpen,i want to get a loan
accountOpen,i want to get loan
accountOpen,i want to get saving account
accountOpen,i want to hear about your credit card options
accountOpen,i want to know if i can open an account online?
accountOpen,i want to know what kind of checking accounts you offer.
accountOpen,i want to open a business checking account
accountOpen,i want to open a savings account and see what kind of credit card i may be illegible for. can i do that online?
accountOpen,i want to open another account
accountOpen,i want to open brokerageaccount
accountOpen,i want to open saving account
accountOpen,i want to see if what kind of loans are available to me?
accountOpen,i want topen a savings account
accountOpen,i wanted a personal loan
accountOpen,i wanted to adding save account
accountOpen,i was thinking about getting a loan. it would be for a used boat. do you have options?
accountOpen,i was wanting to see what kind of car loan i could get
accountOpen,i was wondering how to open up a savings account
accountOpen,i will like to open a saving account
accountOpen,i would like to know more about your credit card options
accountOpen,i would like to open a second account
accountOpen,i would like to open an account for my 5 year old. what are my options?
accountOpen,i'd like to apply for a credit card. what are my options?
accountOpen,i'm looking into loan options
accountOpen,i'm still looking for card options to apply.
accountOpen,id like to borrow100 dollars
accountOpen,im trying to make a savings account
accountOpen,im trying to make a savings account linked to this account
accountOpen,im want to know if i can open a another account
accountOpen,intrested in applying for a loan
accountOpen,investment options
accountOpen,is there a option here to open a savings account?
accountOpen,is there a way I can open a savings account
accountOpen,is there anyway I can open a saving account
accountOpen,let me get a new account
accountOpen,loan options
accountOpen,looking to open a saving account
accountOpen,may i borrow a loan
accountOpen,may i get a loan?
accountOpen,my grandson was born last week what kind of a savings acct is offered that he can be the only person able to withdraw from after a certain age
accountOpen,need a heloc
accountOpen,need apply for a loan
accountOpen,no im okay only credit cards options
accountOpen,opening new savings account
accountOpen,options for high yield savings accounts
accountOpen,personal loans apply
accountOpen,request card for john
accountOpen,saving account options
accountOpen,savings account apply
accountOpen,savings account options
accountOpen,send me credit card options
accountOpen,small loan options
accountOpen,so you do heloc
accountOpen,trying get small business loan
accountOpen,want a loan
accountOpen,want a new savings account
accountOpen,want a personal loan
accountOpen,want a savings account
accountOpen,want open a saving account
accountOpen,want to apply for a loan
accountOpen,want to borrow money
accountOpen,want to open a checking account
accountOpen,want to open an account
accountOpen,want to open an hsa account
accountOpen,want to open business account
accountOpen,want to open saving account
accountOpen,want to open savings account
accountOpen,want to open savings account online
accountOpen,want to take out a loan
accountOpen,wanted to know about financing options you guys might have for a car
accountOpen,wants to open a savings account
accountOpen,was wondering how to make a savings account
accountOpen,what are my options for saving accounts
accountOpen,what credit card options does wells fargo currently have?
accountOpen,what kind debit cards you have?
accountOpen,what kind of credit card can i get through wells fargo
accountOpen,what kind of credit card do wells fargo have?
accountOpen,what kind of loan can i apply for to buy land
accountOpen,what kind of loan offers do you offer?
accountOpen,what kind of personal loan could i get
accountOpen,what kind of savings accounts do you guys have?
accountOpen,what kind of savings for minors
accountOpen,what secured credit card options do the bank offer
accountOpen,whats loans options
accountOpen,where can i go to see what debit card options there are for my account
accountOpen,where to get loan
accountOpen,would like 2 open a new savings account
accountOpen,would like to get a loan
accountOpen,would like to open a savings account
accountOpen,would you be able to help me open a savings account?
credit_card.card_shipping,Can I get it any quicker
credit_card.card_shipping,How long am I expecting to wait
credit_card.card_shipping,How long before I get my new card
credit_card.card_shipping,Will I receive it in the next few days
credit_card.card_shipping,can you expedite it
credit_card.card_shipping,can you send it fast
credit_card.card_shipping,can you send it quickly
credit_card.card_shipping,can you send my new card asap
credit_card.card_shipping,how fast do you ship
credit_card.card_shipping,how long does it usually take
credit_card.card_shipping,how long until my new card arrives
credit_card.card_shipping,how long will I be without a card
credit_card.card_shipping,how many days will I need to wait
credit_card.card_shipping,what's the shipping method
credit_card.card_shipping,what's the shipping speed
credit_card.card_shipping,when can I expect my new card
credit_card.card_shipping,when will I get my new card
credit_card.card_shipping,when will I receive the new card
credit_card.card_shipping,when will it arrive
credit_card.card_shipping,when will it be delivered
credit_card.card_shipping,when will my new card arrive
credit_card.card_shipping,when will my new credit card be mailed
credit_card.card_shipping,will it arrive this week
credit_card.card_shipping,will it be mailed straight a way
credit_card.card_shipping,will it come in the mail
credit_card.charges,$60 has come off my card today and I don't know what it is
credit_card.charges,I don't know what the transaction for $100 was
credit_card.charges,I don't recognize a charge for $50 on my account
credit_card.charges,I don't recognize a transaction on my card
credit_card.charges,I don't recognize the $150 charge made on my card on 25th December
credit_card.charges,I have a charge on my credit card that I don't recognize
credit_card.charges,I have a charge that I'd like to dispute
credit_card.charges,I see a transaction for $99.99 that appeared on my card on Monday that shouldn't be there
credit_card.charges,I want to dispute a charge on 11th October
credit_card.charges,I want to dispute a transaction
credit_card.charges,I want to question a transaction that I see on my statement
credit_card.charges,I want to report fraud on my account
